Fish ID,Fish Species,Age (Weeks),Current Weight (kg),Feed Type,Feed Consumption (g/day),Water Temperature (°C),Dissolved Oxygen (mg/L),Water pH,Stocking Density (fish/m³),Market Price (₹/kg),Expected Harvest Week,Estimated Final Weight (kg)
1,Salmon,1,0.37,High Protein,20.02,23.68,5.67,7.96,6,467.41,34,4.33
1,Salmon,2,0.49,Medium Protein,20.62,24.11,6.8,6.91,24,442.51,51,6.37
1,Salmon,3,0.61,High Protein,20.32,21.64,4.48,8.37,22,424.35,34,4.33
1,Salmon,4,0.73,High Protein,17.47,26.16,5.83,6.91,27,453.7,45,5.65
1,Salmon,5,0.85,Low Protein,24.71,21.24,4.32,7.23,27,423.83,18,2.41
1,Salmon,6,0.97,Low Protein,28.5,25.01,6.79,7.68,26,417.41,18,2.41
1,Salmon,7,1.09,High Protein,28.6,22.1,7.04,7.06,20,322.72,38,4.81
1,Salmon,8,1.21,Low Protein,31.92,21.94,4.57,7.02,26,363.62,51,6.37
1,Salmon,9,1.33,Medium Protein,24.69,20.96,4.25,7.77,13,403.47,24,3.13
1,Salmon,10,1.45,Medium Protein,26.73,23.57,5.63,8.48,16,414.3,19,2.53
1,Salmon,11,1.57,Low Protein,31.09,28.67,7.34,6.99,6,450.69,40,5.05
1,Salmon,12,1.69,Medium Protein,29.26,26.05,4.91,7.73,21,466.91,40,5.05
1,Salmon,13,1.81,Low Protein,28.45,27.79,6.3,7.63,17,352.95,41,5.17
1,Salmon,14,1.93,High Protein,33.32,21.15,4.75,6.53,9,455.87,51,6.37
1,Salmon,15,2.05,High Protein,33.38,23.13,6.61,6.59,15,446.05,45,5.65
1,Salmon,16,2.17,Medium Protein,34.34,23.89,4.77,8.39,25,303.5,28,3.61
1,Salmon,17,2.29,Low Protein,42.43,28.6,5.44,7.95,18,375.18,41,5.17
1,Salmon,18,2.41,Low Protein,36.48,26.64,6.89,6.82,23,407.78,47,5.89
1,Salmon,19,2.53,Medium Protein,36.59,24.9,6.58,7.21,20,427.66,47,5.89
1,Salmon,20,2.65,High Protein,37.75,23.0,5.74,7.63,13,490.07,38,4.81
1,Salmon,21,2.77,Medium Protein,45.76,27.6,5.41,7.93,10,470.82,42,5.29
1,Salmon,22,2.89,High Protein,46.05,28.88,7.56,6.75,11,407.32,31,3.97
1,Salmon,23,3.01,Low Protein,41.39,25.37,4.59,6.51,18,303.5,32,4.09
1,Salmon,24,3.13,High Protein,43.5,20.43,5.91,7.8,15,356.11,30,3.85
1,Salmon,25,3.25,Medium Protein,49.97,22.72,5.99,7.63,5,404.48,33,4.21
1,Salmon,26,3.37,Low Protein,46.45,27.46,5.33,8.02,7,302.53,51,6.37
1,Salmon,27,3.49,Medium Protein,54.72,23.88,7.45,6.81,18,499.77,45,5.65
1,Salmon,28,3.61,Medium Protein,51.51,26.26,4.04,7.49,28,326.62,47,5.89
1,Salmon,29,3.73,High Protein,49.22,25.25,7.36,7.96,25,306.35,47,5.89
1,Salmon,30,3.85,Medium Protein,57.09,29.08,4.98,8.32,21,403.98,43,5.41
1,Salmon,31,3.97,High Protein,52.89,23.07,4.06,7.82,16,340.2,49,6.13
1,Salmon,32,4.09,Low Protein,53.79,24.46,6.07,8.05,5,399.6,43,5.41
1,Salmon,33,4.21,High Protein,55.37,20.65,5.08,6.62,26,421.09,42,5.29
1,Salmon,34,4.33,Low Protein,60.98,28.05,5.79,6.56,23,329.44,42,5.29
1,Salmon,35,4.45,High Protein,56.23,23.26,5.25,7.89,25,357.85,42,5.29
1,Salmon,36,4.57,Medium Protein,59.52,27.22,5.23,7.38,17,412.15,41,5.17
1,Salmon,37,4.69,High Protein,57.21,20.03,6.99,6.53,13,499.53,50,6.25
1,Salmon,38,4.81,High Protein,66.37,28.67,7.26,7.27,28,316.38,41,5.17
1,Salmon,39,4.93,Low Protein,62.71,29.72,6.93,7.62,12,459.26,50,6.25
1,Salmon,40,5.05,Medium Protein,62.98,24.7,6.12,8.23,16,484.66,47,5.89
1,Salmon,41,5.17,High Protein,67.5,24.83,6.51,6.83,20,477.15,51,6.37
1,Salmon,42,5.29,Medium Protein,69.95,26.16,7.9,8.33,24,411.57,48,6.01
1,Salmon,43,5.41,High Protein,72.23,29.75,5.15,6.55,13,425.82,47,5.89
1,Salmon,44,5.53,High Protein,68.78,25.59,4.36,7.29,10,346.42,43,5.53
1,Salmon,45,5.65,Medium Protein,74.62,20.74,6.94,7.8,20,377.86,40,5.65
1,Salmon,46,5.77,High Protein,72.35,25.65,5.32,6.78,21,317.35,49,6.13
1,Salmon,47,5.89,Medium Protein,69.91,24.19,5.37,8.08,25,338.69,47,5.89
1,Salmon,48,6.01,High Protein,78.56,27.61,7.77,8.43,13,439.4,44,6.01
1,Salmon,49,6.13,Low Protein,76.78,23.03,5.09,6.59,17,435.11,49,6.13
1,Salmon,50,6.25,Medium Protein,78.52,29.24,4.09,6.56,27,310.95,42,6.25
1,Salmon,51,6.37,High Protein,83.07,28.0,4.33,8.45,12,414.48,45,6.37
1,Salmon,52,6.49,High Protein,80.49,23.27,7.14,6.92,17,437.35,46,6.49
2,Carp,1,0.55,Low Protein,15.56,23.52,7.3,6.86,23,372.05,29,2.51
2,Carp,2,0.62,Medium Protein,24.91,25.18,5.79,7.04,19,302.03,50,3.98
2,Carp,3,0.69,High Protein,19.75,21.0,4.87,8.11,15,248.57,35,2.93
2,Carp,4,0.76,Low Protein,22.62,26.9,7.02,6.58,24,398.36,13,1.39
2,Carp,5,0.83,High Protein,20.35,26.09,4.6,6.72,13,371.06,14,1.46
